otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu63410	Lasallia pustulata	1055954	136370	-	None	True	original	Lasallia_pustulata	-
otu63409	Lasallia papulosa	1055955	0	-	None	True	original	Lasallia_papulosa	-
otu63430	Phyllobaeis erythrella	455357	202893	-	None	True	original	Phyllobaeis_erythrella	-
otu63429	Phyllobaeis imbricata	503274	404719	-	None	True	original	Phyllobaeis_imbricata	-
otu63428	Ionaspis lacustris	431543	196135	-	None	True	original	Hymenelia_lacustris	-
otu63419	Trapelia	933402	91806	-	None	True	original	Trapelia_glebosa	-
otu63427	Stictis urceolatum	843700	292186	-	None	True	deleted in reconciliation	Stictis_urceolatum	-
otu63426	Stictis radiata	655795	38076	-	None	True	original	Stictis_radiata	-
otu63425	Glomerobolus gelineus	266118	75749	-	None	True	original	Glomerobolus_gelineus	-
otu63424	Acarosporina microspora	767388	271836	-	None	True	original	Acarosporina_microspora	-
otu63422	Gyalecta jenensis	822357	146295	-	None	True	original	Gyalecta_jenensis	-
otu63423	Phlyctis argena	503282	404715	-	None	True	original	Phlyctis_argena	-
otu63421	Diploschistes cinereocaesius	800099	192898	-	None	True	original	Diploschistes_cinereocaesius	-
otu63420	Diploschistes ocellatus	736051	0	-	None	True	original	Diploschistes_ocellatus	-
otu63417	Pertusaria dactylina	711011	267808	-	None	True	original	Pertusaria_dactylina	-
otu63418	Pertusaria hemisphaerica	746787	160979	-	None	True	original	Pertusaria_hemisphaerica	-
otu63416	Icmadophila ericetorum	845874	90408	-	None	True	original	Icmadophila_ericetorum	-
otu63415	Dibaeis baeomyces	444942	83478	-	None	True	original	Dibaeis_baeomyces	-
otu63414	Loxospora ochrophaea	913994	400354	-	None	True	original	Loxospora_ochrophaea	-
otu63413	Loxospora cismonica	1029104	404707	-	None	True	original	Loxospora_cismonica	-
otu63407	Rhizocarpon oederi	598383	200983	-	None	True	original	Rhizocarpon_oederi	-
otu63406	Rhizocarpon superficiale	1059707	413844	-	None	True	deleted in reconciliation	Rhizocarpon_superficiale	-
otu63398	Lecidea fuscoatra	744199	0	-	None	True	original	Lecidea_fuscoatra	-
otu63399	Coccocarpia erythroxyli	978101	191098	-	None	True	original	Coccocarpia_erythroxyli	-
otu63400	Collema cristatum	376241	586069	-	None	True	original	Collema_cristatum	-
otu63404	Pseudocyphellaria anomala	975461	0	-	None	True	original	Pseudocyphellaria_anomala	-
otu63405	Lobaria scrobiculata	678966	908477	-	None	True	original	Lobaria_scrobiculata	-
otu63403	Lobariella pallida	292890	401077	-	None	True	original	Lobariella_pallida	-
otu63402	Peltigera degenii	806075	161982	-	None	True	original	Peltigera_degenii	-
otu63401	Nephroma parile	43548	203387	-	None	True	original	Nephroma_parile	-
otu63385	Ramalina complanata	345839	399109	-	None	True	original	Ramalina_complanata	-
otu63386	Bacidia schweinitzii	552726	161808	-	None	True	original	Bacidia_schweinitzii	-
